https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAVES
1639353600000,2021-12-13 00:00:00,WAVES/USD,17.529807,17.9,15.3162,15.395314,973397.977662308,63226.89992957
1639267200000,2021-12-12 00:00:00,WAVES/USD,17.057387,17.843282,16.518871,17.61838,1139673.1405671374,64686.60231912
1639180800000,2021-12-11 00:00:00,WAVES/USD,16.640113,17.278113,16.41,17.04881,1141072.814940533,66929.76312954
1639094400000,2021-12-10 00:00:00,WAVES/USD,18.111488,18.521023,16.603758,16.629314,1098625.0490754365,66065.56644943
1639008000000,2021-12-09 00:00:00,WAVES/USD,20.133374,20.201947,17.9857,18.068401,1162450.8185041372,64336.12019703
1638921600000,2021-12-08 00:00:00,WAVES/USD,20.25303,20.406668,19.1732,20.119388,1321950.788782094,65705.31811316
1638835200000,2021-12-07 00:00:00,WAVES/USD,20.7,21.1461,19.9,20.28613,1375805.4861629421,67820.00737267
1638748800000,2021-12-06 00:00:00,WAVES/USD,20.327211,22.6,19.198641,20.650466,1384780.3030790559,67058.06557
1638662400000,2021-12-05 00:00:00,WAVES/USD,19.457828,21.266917,18.668788,20.352699,1384468.3550622764,68023.82106974
1638576000000,2021-12-04 00:00:00,WAVES/USD,22.33069,22.33069,17.18017,19.43354,1613019.454763617,83001.83367331
1638489600000,2021-12-03 00:00:00,WAVES/USD,21.914441,22.461445,20.8478,22.282508,1468538.759745493,65905.45192424
1638403200000,2021-12-02 00:00:00,WAVES/USD,23.2334,24.006471,21.88,21.931054,1472843.4211258993,67157.89497057
1638316800000,2021-12-01 00:00:00,WAVES/USD,21.907988,23.24747,21.77999,23.23823,1530215.702331737,65849.0643363
1638230400000,2021-11-30 00:00:00,WAVES/USD,21.998524,22.570132,21.420087,21.917418,1468522.0190141888,67002.51001346
1638144000000,2021-11-29 00:00:00,WAVES/USD,21.353741,22.19,20.937424,21.99571,1444178.5631845784,65657.283315
1638057600000,2021-11-28 00:00:00,WAVES/USD,20.288254,21.849003,19.345993,21.32907,1466553.7562748424,68758.44827153
1637971200000,2021-11-27 00:00:00,WAVES/USD,20.558638,21.297701,20.060715,20.309386,1327445.9197196204,65361.20391427
1637884800000,2021-11-26 00:00:00,WAVES/USD,21.02417,21.574296,18.905801,20.464739,1386467.6613394632,67749.1006037
1637798400000,2021-11-25 00:00:00,WAVES/USD,20.9016,21.5356,20.57541,21.025764,1377539.7075203215,65516.74923776
1637712000000,2021-11-24 00:00:00,WAVES/USD,21.586814,21.781878,19.803824,20.856337,2112375.549338534,101282.19300151
1637625600000,2021-11-23 00:00:00,WAVES/USD,21.70488,22.2157,21.302988,21.589036,1402495.1761808195,64963.30712408
1637539200000,2021-11-22 00:00:00,WAVES/USD,22.242031,22.318864,21.280867,21.67981,1425847.2477230276,65768.43836376
1637452800000,2021-11-21 00:00:00,WAVES/USD,22.785057,22.793957,22,22.212826,1431826.5965295974,64459.45223402
1637366400000,2021-11-20 00:00:00,WAVES/USD,22.876394,22.958568,21.896379,22.798645,1480903.731738526,64955.77836922
1637280000000,2021-11-19 00:00:00,WAVES/USD,22.584578,22.99709,21.50923,22.908192,1511445.5815118065,65978.38805925
1637193600000,2021-11-18 00:00:00,WAVES/USD,22.196076,25.26,21.666,22.621638,1533436.4662159884,67786.27021686
1637107200000,2021-11-17 00:00:00,WAVES/USD,22.268626,22.463402,21.3563,22.185743,1443790.3921382606,65077.39642248
1637020800000,2021-11-16 00:00:00,WAVES/USD,23.727347,24.57,20.37,22.271161,1500131.663588177,67357.58695239
1636934400000,2021-11-15 00:00:00,WAVES/USD,23.882785,24.1,23.44,23.726552,1520802.5716312327,64097.07451935
1636848000000,2021-11-14 00:00:00,WAVES/USD,24.061508,24.1224,23.469617,23.806937,1541522.520165523,64750.98078201
1636761600000,2021-11-13 00:00:00,WAVES/USD,23.674262,24.298,23.576825,24.035397,1578935.0514328668,65692.07288038
