https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT
1641600000,2022-01-08 00:00:00,ATOM/USDT,38.585,40.333,34.0142,35.8848,1698351.2392181,62937432.313416328932
1641513600,2022-01-07 00:00:00,ATOM/USDT,40.0625,44.65,37.6059,38.582,2917659.80259478,121295937.400013117763
1641427200,2022-01-06 00:00:00,ATOM/USDT,38.6833,41.6043,35.4479,40.1049,1494578.35210297,57289822.1062771721
1641340800,2022-01-05 00:00:00,ATOM/USDT,42.102,43.25,34.6018,38.6505,1718086.51493783,67284362.238649891767
1641254400,2022-01-04 00:00:00,ATOM/USDT,39.2361,43.9906,37.5005,42.0759,1399585.40557415,57640270.868968767767
1641168000,2022-01-03 00:00:00,ATOM/USDT,35.5232,39.7842,34.2324,39.228,1214327.77116093,45699626.80460405916
1641081600,2022-01-02 00:00:00,ATOM/USDT,36.3352,36.8374,34.2217,35.5083,544140.85283499,19243416.406241096901
1640995200,2022-01-01 00:00:00,ATOM/USDT,32.4701,37.0523,32.3862,36.3376,1034810.75565204,36147490.94709593387
1640908800,2021-12-31 00:00:00,ATOM/USDT,30.9562,33.2963,30.3256,32.3828,903888.76552399,28727334.357686311085
1640822400,2021-12-30 00:00:00,ATOM/USDT,28.3894,31,26.5469,30.9562,668414.81769078,19222710.869534782125
1640736000,2021-12-29 00:00:00,ATOM/USDT,26.7149,28.6577,25.1902,28.3895,726118.05642554,19656014.143996949668
1640649600,2021-12-28 00:00:00,ATOM/USDT,29.7825,29.7992,26.0765,26.7095,841364.22568795,23580256.630977982861
