https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USD
1638331200000,2021-12-01 04:00:00,QNT/USD,205.83,211.0,193.22,195.0,820.227688,159944.39916
1638244800000,2021-11-30 04:00:00,QNT/USD,206.6,210.71,201.27,205.83,402.861323,82920.94611309002
1638158400000,2021-11-29 04:00:00,QNT/USD,208.66,217.32,200.32,206.6,397.120966,82045.1915756
1638072000000,2021-11-28 04:00:00,QNT/USD,200.32,213.28,193.52,208.66,588.02429,122697.14835139998
1637985600000,2021-11-27 04:00:00,QNT/USD,213.49,219.68,199.69,200.32,584.822237,117151.59051583998
1637899200000,2021-11-26 04:00:00,QNT/USD,224.52,224.52,197.45,213.49,537.222003,114691.52542047
1637812800000,2021-11-25 04:00:00,QNT/USD,227.13,233.02,216.0,224.52,297.990726,66904.87780152001
1637726400000,2021-11-24 04:00:00,QNT/USD,230.15,235.84,222.01,227.13,980.609669,222725.87411997002
1637640000000,2021-11-23 04:00:00,QNT/USD,225.69,267.29,225.69,230.15,1549.757216,356676.6232624
1637553600000,2021-11-22 04:00:00,QNT/USD,220.02,225.69,212.24,225.69,473.38924,106839.21757559999
1637467200000,2021-11-21 04:00:00,QNT/USD,232.52,235.95,218.05,220.02,981.220042,215888.03364084
1637380800000,2021-11-20 04:00:00,QNT/USD,233.7,240.01,228.38,232.52,675.341673,157030.44580596001
1637294400000,2021-11-19 04:00:00,QNT/USD,226.83,244.03,225.99,233.7,377.998762,88338.31067939999
1637208000000,2021-11-18 04:00:00,QNT/USD,249.75,256.0,218.0,226.83,475.256375,107802.40354125001
1637121600000,2021-11-17 04:00:00,QNT/USD,249.8,263.06,245.0,249.75,314.602317,78571.92867075001
1637035200000,2021-11-16 04:00:00,QNT/USD,267.6,287.0,245.59,249.8,784.80977,196045.480546
1636948800000,2021-11-15 04:00:00,QNT/USD,0.0,286.06,0.0,267.6,1121.539634,300124.00605840003
