https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USD
1638504000000,2021-12-03 04:00:00,AMP/USD,0.0579,0.0591,0.05296,0.05311,94951208.24662153,5042858.669978069
1638417600000,2021-12-02 04:00:00,AMP/USD,0.05815,0.05899,0.0572,0.0579,29568489.13156928,1712015.5207178614
1638331200000,2021-12-01 04:00:00,AMP/USD,0.05911,0.06247,0.05804,0.05815,60560878.02929102,3521615.057403273
1638244800000,2021-11-30 04:00:00,AMP/USD,0.06104,0.06414,0.05877,0.05911,121453568.09694435,7179120.41021038
1638158400000,2021-11-29 04:00:00,AMP/USD,0.06336,0.06713,0.06031,0.06104,129661418.67025517,7914532.995632376
1638072000000,2021-11-28 04:00:00,AMP/USD,0.06802,0.07473,0.061,0.06336,301235075.67978966,19086254.395071473
1637985600000,2021-11-27 04:00:00,AMP/USD,0.0585,0.07619,0.05741,0.06802,203976418.29593554,13874475.972489536
1637899200000,2021-11-26 04:00:00,AMP/USD,0.0612,0.06319,0.05585,0.0585,122221783.01974432,7149974.306655043
1637812800000,2021-11-25 04:00:00,AMP/USD,0.06007,0.06565,0.05831,0.0612,147691111.20996886,9038696.006050095
1637726400000,2021-11-24 04:00:00,AMP/USD,0.0646,0.06687,0.05741,0.06007,154611226.65189698,9287496.384979451
1637640000000,2021-11-23 04:00:00,AMP/USD,0.06902,0.07725,0.06215,0.0646,435900688.7348242,28159184.492269643
1637553600000,2021-11-22 04:00:00,AMP/USD,0.04999,0.07688,0.04845,0.06902,264402100.9738704,18249033.009216536
1637467200000,2021-11-21 04:00:00,AMP/USD,0.05226,0.05277,0.04923,0.04999,39780044.52402697,1988604.425756108
1637380800000,2021-11-20 04:00:00,AMP/USD,0.05257,0.05327,0.05124,0.05226,38120753.81023708,1992190.5941229898
1637294400000,2021-11-19 04:00:00,AMP/USD,0.04817,0.05284,0.04812,0.05257,43436058.32533579,2283433.5861629024
1637208000000,2021-11-18 04:00:00,AMP/USD,0.05208,0.05208,0.04704,0.04817,43310862.75039748,2086284.2586866466
1637121600000,2021-11-17 04:00:00,AMP/USD,0.05129,0.055,0.05001,0.05208,65880949.15943885,3431079.832223575
1637035200000,2021-11-16 04:00:00,AMP/USD,0.05314,0.05478,0.05064,0.05129,60284900.67805122,3092012.555777247
1636948800000,2021-11-15 04:00:00,AMP/USD,0.05749,0.05856,0.05301,0.05314,69429452.61811347,3689481.11212655
1636862400000,2021-11-14 04:00:00,AMP/USD,0.05811,0.05871,0.05701,0.05749,30264639.25414096,1739914.1107205637
1636776000000,2021-11-13 04:00:00,AMP/USD,0.05768,0.05981,0.05637,0.05811,30781380.94404063,1788706.0466582011
1636689600000,2021-11-12 04:00:00,AMP/USD,0.06045,0.06045,0.05652,0.05768,14463211.36851011,834238.0317356632
1636603200000,2021-11-11 04:00:00,AMP/USD,0.05763,0.0616,0.05711,0.06045,106863267.9932315,6459884.550190845
1636516800000,2021-11-10 04:00:00,AMP/USD,0.05988,0.063,0.056,0.05763,147306786.0315125,8489290.078996066
