https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume USD
1611979200000,2021-01-30 04:00:00,PAXG/USD,1867.47,1891.62,1857.65,1859.59,77.8547185037,144777.85598229547
1611892800000,2021-01-29 04:00:00,PAXG/USD,1850.96,1904.99,1849.55,1867.47,46.0659863979,86026.84761848631
1611806400000,2021-01-28 04:00:00,PAXG/USD,1850.27,1869.02,1842.86,1850.96,23.5505737405,43591.16997071588
1611720000000,2021-01-27 04:00:00,PAXG/USD,1866.39,1925.3,1849.0,1850.27,21.4240039295,39640.19175063596
1611633600000,2021-01-26 04:00:00,PAXG/USD,1877.0,1960.71,1860.61,1866.39,94.0121898823,175463.4110744259
1611547200000,2021-01-25 04:00:00,PAXG/USD,1871.21,1885.8,1863.29,1877.0,14.5162658124,27247.0309298748
1611460800000,2021-01-24 04:00:00,PAXG/USD,1873.74,1878.66,1858.12,1871.21,24.1753170943,45237.0951000251
1611374400000,2021-01-23 04:00:00,PAXG/USD,1871.35,1880.38,1871.35,1873.74,16.4341587249,30793.34056919413
1611288000000,2021-01-22 04:00:00,PAXG/USD,1868.92,1878.19,1848.16,1871.35,32.57670288,60962.412934488
1611201600000,2021-01-21 04:00:00,PAXG/USD,1900.7,2425.5,1801.0,1868.92,77.3040204254,144475.02985343858
1611115200000,2021-01-20 04:00:00,PAXG/USD,1867.84,1905.08,1850.85,1900.7,96.08026639,182619.76232747303
