https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1639886400000,2021-12-19 04:00:00,GRT/USD,0.6245,0.6675,0.6059,0.6673,391229.763133,261067.6209386509
1639800000000,2021-12-18 04:00:00,GRT/USD,0.5922,0.6264,0.5866,0.6245,620376.608352,387425.191915824
1639713600000,2021-12-17 04:00:00,GRT/USD,0.6238,0.64,0.58,0.5922,565232.695132,334730.80205717037
1639627200000,2021-12-16 04:00:00,GRT/USD,0.6381,0.6381,0.613,0.6238,19407.646195,12106.489696441002
1639540800000,2021-12-15 04:00:00,GRT/USD,0.6544,0.6635,0.5825,0.6381,381147.649277,243210.3150036537
1639454400000,2021-12-14 04:00:00,GRT/USD,0.6029,0.6544,0.59,0.6544,346349.249013,226650.9485541072
1639368000000,2021-12-13 04:00:00,GRT/USD,0.6664,0.6713,0.5869,0.6029,630459.63681,380104.115032749
1639281600000,2021-12-12 04:00:00,GRT/USD,0.6736,0.697,0.6577,0.6664,234392.783457,156199.3508957448
1639195200000,2021-12-11 04:00:00,GRT/USD,0.6542,0.6765,0.6486,0.6736,192019.968253,129344.6506152208
1639108800000,2021-12-10 04:00:00,GRT/USD,0.6944,0.6994,0.631,0.6542,413933.256632,270795.13648865436
1639022400000,2021-12-09 04:00:00,GRT/USD,0.7438,0.7438,0.681,0.6944,195356.306713,135655.4193815072
1638936000000,2021-12-08 04:00:00,GRT/USD,0.6897,0.7813,0.6755,0.7438,324823.494992,241603.7155750496
1638849600000,2021-12-07 04:00:00,GRT/USD,0.7099,0.7295,0.6778,0.6897,721101.53519432,497343.7288235225
1638763200000,2021-12-06 04:00:00,GRT/USD,0.686,0.7215,0.6067,0.7099,1141161.77640762,810110.7450717693
1638676800000,2021-12-05 04:00:00,GRT/USD,0.7248,0.7535,0.6488,0.686,1036937.52908152,711339.1449499228
1638590400000,2021-12-04 04:00:00,GRT/USD,0.7706,0.7909,0.56,0.7248,928811.18084969,673202.3438798554
1638504000000,2021-12-03 04:00:00,GRT/USD,0.8772,0.9242,0.74,0.7706,804570.45699998,620001.9941641846
1638417600000,2021-12-02 04:00:00,GRT/USD,0.894,0.9102,0.8772,0.8772,290587.36452399,254903.23616044404
1638331200000,2021-12-01 04:00:00,GRT/USD,0.9513,0.99,0.8815,0.894,470095.7560497,420265.6059084318
1638244800000,2021-11-30 04:00:00,GRT/USD,0.9384,0.9565,0.9084,0.9513,1075047.01294966,1022692.2234190116
1638158400000,2021-11-29 04:00:00,GRT/USD,0.9825,0.9899,0.9293,0.9384,1067012.67482421,1001284.6940550386
1638072000000,2021-11-28 04:00:00,GRT/USD,0.9781,1.0536,0.9218,0.9825,1952321.09755532,1918155.478348102
1637985600000,2021-11-27 04:00:00,GRT/USD,0.9971,1.0964,0.9569,0.9781,1207251.2928858,1180812.489571601
1637899200000,2021-11-26 04:00:00,GRT/USD,0.9616,1.052,0.8454,0.9971,1596786.75359128,1592156.0720058652
1637812800000,2021-11-25 04:00:00,GRT/USD,0.8857,0.9788,0.865,0.9616,1357273.39464388,1305154.096289555
1637726400000,2021-11-24 04:00:00,GRT/USD,0.8796,0.8971,0.8472,0.8857,1446957.01777571,1281569.8306439463
1637640000000,2021-11-23 04:00:00,GRT/USD,0.8996,0.9307,0.8581,0.8796,1328267.9848461,1168344.5194706295
1637553600000,2021-11-22 04:00:00,GRT/USD,0.8917,0.913,0.8541,0.8996,1096413.83293776,986333.8841108088
1637467200000,2021-11-21 04:00:00,GRT/USD,0.9272,0.9683,0.8837,0.8917,313489.74879203,279538.80899785314
1637380800000,2021-11-20 04:00:00,GRT/USD,0.9482,0.984,0.9177,0.9272,674467.25526863,625366.0390850737
1637294400000,2021-11-19 04:00:00,GRT/USD,0.8694,0.9732,0.8694,0.9482,973813.87989461,923370.3209160693
1637208000000,2021-11-18 04:00:00,GRT/USD,0.975,0.975,0.8466,0.8694,366741.6565727,318845.1962243054
1637121600000,2021-11-17 04:00:00,GRT/USD,0.8929,1.0236,0.8855,0.975,549852.25984669,536105.9533505228
1637035200000,2021-11-16 04:00:00,GRT/USD,0.9525,0.9769,0.8454,0.8929,1071232.74721543,956503.7199886575
1636948800000,2021-11-15 04:00:00,GRT/USD,1.0738,1.1103,0.9417,0.9525,501170.82620347,477365.21195880516
1636862400000,2021-11-14 04:00:00,GRT/USD,1.089,1.0979,1.0461,1.0738,240095.11650347,257814.1361014261
1636776000000,2021-11-13 04:00:00,GRT/USD,1.0807,1.1257,1.0769,1.089,277741.62135813,302460.62565900356
1636689600000,2021-11-12 04:00:00,GRT/USD,1.1233,1.1233,1.0696,1.0807,241519.13237895,261009.72636193124
1636603200000,2021-11-11 04:00:00,GRT/USD,1.098,1.2159,1.0769,1.1233,960397.43995432,1078814.4443006876
1636516800000,2021-11-10 04:00:00,GRT/USD,1.1827,1.2314,0.99,1.098,1584144.00615582,1739390.1187590905
1636430400000,2021-11-09 04:00:00,GRT/USD,1.2112,1.3405,1.1601,1.1827,2554779.9967443,3021538.3021494835
1636344000000,2021-11-08 04:00:00,GRT/USD,1.103,1.2206,1.066,1.2112,1517785.55607966,1838341.8655236843
1636257600000,2021-11-07 04:00:00,GRT/USD,1.0554,1.1335,1.0465,1.103,1206472.45494966,1330739.117809475
1636171200000,2021-11-06 04:00:00,GRT/USD,1.0807,1.0815,1.0054,1.0554,444733.74275146,469371.99209989083
1636084800000,2021-11-05 04:00:00,GRT/USD,1.0466,1.1663,1.0415,1.0807,1827613.24950969,1975101.6387451221
1635998400000,2021-11-04 04:00:00,GRT/USD,1.0299,1.0558,0.9938,1.0466,446568.66668902,467378.76655672834
