https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1633752000000,2021-10-09 04:00:00,1INCH/USD,3.1917,3.2449,3.1013,3.1327,19580.60603463,61340.164524685395
1633665600000,2021-10-08 04:00:00,1INCH/USD,3.1165,3.2911,3.0959,3.1917,51475.71686918,164295.04553136183
1633579200000,2021-10-07 04:00:00,1INCH/USD,3.0438,3.258,3.0342,3.1165,49825.95233206,155282.58044286497
1633492800000,2021-10-06 04:00:00,1INCH/USD,3.1658,3.2518,3.021,3.0438,58950.96238933,179434.93932064268
1633406400000,2021-10-05 04:00:00,1INCH/USD,3.2149,3.3643,3.1388,3.1658,80609.60589448,255193.89034074478
1633320000000,2021-10-04 04:00:00,1INCH/USD,2.9826,3.281,2.9167,3.2149,63822.84380543,205184.06055007692
1633233600000,2021-10-03 04:00:00,1INCH/USD,3.1219,3.246,2.9713,2.9826,42944.84787902,128087.30328396507
1633147200000,2021-10-02 04:00:00,1INCH/USD,2.8316,3.1641,2.8153,3.1219,85736.20281948,267659.8515821346
1633060800000,2021-10-01 04:00:00,1INCH/USD,2.5759,3.0222,2.5607,2.8316,105918.02331797,299917.47482716385
1632974400000,2021-09-30 04:00:00,1INCH/USD,2.6231,2.6521,2.4637,2.5759,90886.14522842,234113.62149388707
1632888000000,2021-09-29 04:00:00,1INCH/USD,2.5188,2.6611,2.388,2.6231,55362.90250162,145222.42955199943
1632801600000,2021-09-28 04:00:00,1INCH/USD,2.5925,2.6133,2.3678,2.5188,26945.43774772,67870.16859895714
1632715200000,2021-09-27 04:00:00,1INCH/USD,2.814,2.8687,2.5028,2.5925,35984.32673812,93289.36706857609
1632628800000,2021-09-26 04:00:00,1INCH/USD,2.3675,2.9079,2.217,2.814,67511.79847725,189978.2009149815
1632542400000,2021-09-25 04:00:00,1INCH/USD,2.5718,2.6089,2.333,2.3675,45440.55356201,107580.51055805868
1632456000000,2021-09-24 04:00:00,1INCH/USD,2.7076,2.7657,2.3773,2.5718,71296.58662936,183360.56149338806
1632369600000,2021-09-23 04:00:00,1INCH/USD,2.6923,2.847,2.5749,2.7076,74614.88844741,202027.27196020732
1632283200000,2021-09-22 04:00:00,1INCH/USD,2.3753,2.6924,2.3753,2.6923,36879.78670509,99291.44974611381
1632196800000,2021-09-21 04:00:00,1INCH/USD,2.5674,2.6582,2.2351,2.3753,112328.16150387,266813.0820201424
1632110400000,2021-09-20 04:00:00,1INCH/USD,2.8078,2.858,2.3858,2.5674,124741.08060397,320260.2503426326
1632024000000,2021-09-19 04:00:00,1INCH/USD,3.0732,3.1392,2.7194,2.8078,43255.03225966,121451.47957867334
1631937600000,2021-09-18 04:00:00,1INCH/USD,3.2033,3.3131,3.0548,3.0732,31069.17502652,95481.78869150126
1631851200000,2021-09-17 04:00:00,1INCH/USD,3.2742,3.2925,3.0165,3.2033,38582.88242484,123592.54727148997
1631764800000,2021-09-16 04:00:00,1INCH/USD,3.2138,3.5155,3.211,3.2742,91856.68013075,300757.1420841016
1631678400000,2021-09-15 04:00:00,1INCH/USD,3.0959,3.3629,3.0959,3.2138,95295.25408864,306259.8875900712
1631592000000,2021-09-14 04:00:00,1INCH/USD,2.9081,3.13,2.8821,3.0959,242827.45063211,751769.5044119493
1631505600000,2021-09-13 04:00:00,1INCH/USD,2.8147,2.9479,2.7125,2.9081,75054.35489185,218265.569460989
