https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1642824000000,2022-01-22 04:00:00,ENJ/USD,1.6962,1.6999,1.3487,1.535,283938.054616,435844.91383556
1642737600000,2022-01-21 04:00:00,ENJ/USD,1.9677,2.0239,1.6755,1.6962,244800.399515,415230.437657343
1642651200000,2022-01-20 04:00:00,ENJ/USD,2.2598,2.3549,1.9475,1.9677,173805.153517,341996.4005754009
1642564800000,2022-01-19 04:00:00,ENJ/USD,2.2876,2.3401,2.205,2.2598,28707.636982,64873.518051923595
1642478400000,2022-01-18 04:00:00,ENJ/USD,2.2938,2.3218,2.1956,2.2876,122412.855417,280031.6480519292
1642392000000,2022-01-17 04:00:00,ENJ/USD,2.4071,2.4248,2.2863,2.2938,88851.420767,203807.38895534462
1642305600000,2022-01-16 04:00:00,ENJ/USD,2.4587,2.5405,2.4071,2.4071,88582.800616,213227.65936277356
1642219200000,2022-01-15 04:00:00,ENJ/USD,2.3873,2.5469,2.3661,2.4587,97930.761823,240782.36409421006
1642132800000,2022-01-14 04:00:00,ENJ/USD,2.3899,2.4573,2.3181,2.3873,55500.023417,132495.2059034041
1642046400000,2022-01-13 04:00:00,ENJ/USD,2.4971,2.5961,2.3496,2.3899,106549.897914,254643.6010246686
1641960000000,2022-01-12 04:00:00,ENJ/USD,2.3519,2.6122,2.3519,2.4971,145078.996086,362276.7611263506
1641873600000,2022-01-11 04:00:00,ENJ/USD,2.2386,2.3642,2.1763,2.3519,97427.207646,229139.0496626274
1641787200000,2022-01-10 04:00:00,ENJ/USD,2.3179,2.3427,2.082,2.2386,130201.936741,291470.0555884026
1641700800000,2022-01-09 04:00:00,ENJ/USD,2.2723,2.366,2.2404,2.3179,75542.911772,175100.9151963188
1641614400000,2022-01-08 04:00:00,ENJ/USD,2.3988,2.4319,2.1763,2.2723,128325.610437,291594.2845959951
1641528000000,2022-01-07 04:00:00,ENJ/USD,2.3878,2.4573,2.316,2.3988,161442.405507,387268.0423301916
1641441600000,2022-01-06 04:00:00,ENJ/USD,2.3364,2.6268,2.3181,2.3878,296975.340442,709117.7179074077
1641355200000,2022-01-05 04:00:00,ENJ/USD,2.7459,2.7459,2.2496,2.3364,228781.565491,534525.2496131724
1641268800000,2022-01-04 04:00:00,ENJ/USD,2.7243,2.8567,2.6661,2.7459,184272.44458,505993.705572222
