https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1643860800000,2022-02-03 04:00:00,MANA/USD,2.44913,2.70657,2.44913,2.67186,307347.814905,821190.3327320733
1643774400000,2022-02-02 04:00:00,MANA/USD,2.66253,2.66253,2.43246,2.44913,292925.92689,717413.6753241057
1643688000000,2022-02-01 04:00:00,MANA/USD,2.79941,2.84531,2.61599,2.66253,307431.731473,818546.2079988067
1643601600000,2022-01-31 04:00:00,MANA/USD,2.56249,2.89257,2.4992,2.79941,600674.771788,1681534.962891045
1643515200000,2022-01-30 04:00:00,MANA/USD,2.44689,2.62556,2.35786,2.56249,383647.601785,983093.1430980447
1643428800000,2022-01-29 04:00:00,MANA/USD,2.31271,2.49931,2.28102,2.44689,416664.073933,1019531.1558659183
1643342400000,2022-01-28 04:00:00,MANA/USD,2.29698,2.33803,2.16672,2.31271,274371.03411,634540.6342965381
1643256000000,2022-01-27 04:00:00,MANA/USD,2.05918,2.34871,2.04132,2.29698,488432.054555,1121918.6606717438
1643169600000,2022-01-26 04:00:00,MANA/USD,2.19893,2.36391,2.03247,2.05918,339002.356689,698066.872846855
1643083200000,2022-01-25 04:00:00,MANA/USD,2.05557,2.20494,2.01159,2.19893,427361.652563,939738.3586703575
1642996800000,2022-01-24 04:00:00,MANA/USD,2.00879,2.13865,1.81,2.05557,711010.035475,1461530.8986213459
1642910400000,2022-01-23 04:00:00,MANA/USD,2.04446,2.1586,1.98318,2.00879,432286.623585,868373.046591312
1642824000000,2022-01-22 04:00:00,MANA/USD,2.20554,2.21724,1.71267,2.04446,1176287.311569,2404872.3570103575
1642737600000,2022-01-21 04:00:00,MANA/USD,2.48137,2.56809,2.1381,2.20554,1070509.86503,2361052.3277182663
1642651200000,2022-01-20 04:00:00,MANA/USD,2.76025,2.95,2.46023,2.48137,969048.000576,2404566.637189269
1642564800000,2022-01-19 04:00:00,MANA/USD,2.80911,2.8284,2.688,2.76025,403091.157972,1112632.368792213
1642478400000,2022-01-18 04:00:00,MANA/USD,2.88548,2.91541,2.77735,2.80911,221515.371452,622261.0450995277
1642392000000,2022-01-17 04:00:00,MANA/USD,3.03834,3.07188,2.8648,2.88548,200859.171519,579575.122234644
1642305600000,2022-01-16 04:00:00,MANA/USD,2.95196,3.19677,2.92743,3.03834,305394.837371,927893.350177804
1642219200000,2022-01-15 04:00:00,MANA/USD,2.95834,3.06377,2.91681,2.95196,137800.770914,406782.3637072914
1642132800000,2022-01-14 04:00:00,MANA/USD,2.92341,3.0168,2.8146,2.95834,195593.614684,578632.4140642646
1642046400000,2022-01-13 04:00:00,MANA/USD,3.01173,3.08895,2.86794,2.92341,314059.496273,918124.671999451
1641960000000,2022-01-12 04:00:00,MANA/USD,2.94335,3.10348,2.94335,3.01173,106339.474065,320265.78422578244
1641873600000,2022-01-11 04:00:00,MANA/USD,2.85382,2.96928,2.75717,2.94335,364090.561782,1071645.9550210498
1641787200000,2022-01-10 04:00:00,MANA/USD,2.91649,2.96359,2.62719,2.85382,1015557.265203,2898217.6345816255
1641700800000,2022-01-09 04:00:00,MANA/USD,2.9496,3.04933,2.75,2.91649,2599239.604366,7580656.313737395
1641614400000,2022-01-08 04:00:00,MANA/USD,3.06939,3.13347,2.837,2.9496,438378.03177,1293039.8425087922
1641528000000,2022-01-07 04:00:00,MANA/USD,3.136,3.2733,3.019,3.06939,711845.953406,2184932.8509248425
1641441600000,2022-01-06 04:00:00,MANA/USD,2.79801,3.43903,2.78805,3.136,934933.035711,2931949.999989696
1641355200000,2022-01-05 04:00:00,MANA/USD,3.22172,3.22172,2.67723,2.79801,536357.392762,1500733.3485220035
1641268800000,2022-01-04 04:00:00,MANA/USD,3.20007,3.30607,3.16188,3.22172,504003.103779,1623756.8795068797
1641182400000,2022-01-03 04:00:00,MANA/USD,3.28944,3.32939,3.13155,3.20007,253724.485579,811936.1145667905
1641096000000,2022-01-02 04:00:00,MANA/USD,3.33356,3.38219,3.1,3.28944,4617741.479604,15189783.532668581
1641009600000,2022-01-01 04:00:00,MANA/USD,3.29216,3.35906,3.26678,3.33356,147181.523175,490638.43839525303
1640923200000,2021-12-31 04:00:00,MANA/USD,3.33216,3.42001,3.19067,3.29216,273131.948462,899194.075448658
1640836800000,2021-12-30 04:00:00,MANA/USD,3.19599,3.3666,3.19599,3.33216,269988.150928,899643.7169962444
1640750400000,2021-12-29 04:00:00,MANA/USD,3.43899,3.46025,3.16073,3.19599,460724.32459,1472470.3341463942
1640664000000,2021-12-28 04:00:00,MANA/USD,3.58644,3.66699,3.2995,3.43899,737582.595541,2536539.1702395435
1640577600000,2021-12-27 04:00:00,MANA/USD,3.96336,3.96908,3.51525,3.58644,372271.508075,1335129.427420503
1640491200000,2021-12-26 04:00:00,MANA/USD,3.64724,3.96575,3.63649,3.96336,257768.650027,1021629.9567710108
1640404800000,2021-12-25 04:00:00,MANA/USD,3.58321,3.84615,3.57444,3.64724,379474.967045,1384036.2788052058
1640318400000,2021-12-24 04:00:00,MANA/USD,3.79824,3.82923,3.45329,3.58321,858060.841164,3074612.186667256
1640232000000,2021-12-23 04:00:00,MANA/USD,3.246,3.91702,3.20911,3.79824,1441648.207949,5475725.889360209
1640145600000,2021-12-22 04:00:00,MANA/USD,3.276,3.33282,3.204,3.246,271563.307504,881494.4961579841
1640059200000,2021-12-21 04:00:00,MANA/USD,3.2133,3.32519,3.19128,3.276,611438.687604,2003073.1405907038
1639972800000,2021-12-20 04:00:00,MANA/USD,3.21925,3.32939,3.02494,3.2133,797013.599413,2561043.798993793
1639886400000,2021-12-19 04:00:00,MANA/USD,3.46732,3.52621,3.19916,3.21925,592199.826034,1906439.2899599548
1639800000000,2021-12-18 04:00:00,MANA/USD,3.13734,3.61732,3.12255,3.46732,592446.461825,2054201.466015059
1639713600000,2021-12-17 04:00:00,MANA/USD,3.18488,3.22842,2.96886,3.13734,506534.389693,1589170.6021594366
1639627200000,2021-12-16 04:00:00,MANA/USD,3.32465,3.32465,3.12252,3.18488,49841.382177,158738.82126788376
1639540800000,2021-12-15 04:00:00,MANA/USD,3.17297,3.42469,2.92547,3.32465,868187.334798,2886419.022636171
1639454400000,2021-12-14 04:00:00,MANA/USD,3.16001,3.25852,3.0,3.17297,710266.169651,2253653.248317533
1639368000000,2021-12-13 04:00:00,MANA/USD,3.49966,3.5003,3.10615,3.16001,555961.147945,1756842.7871176794
1639281600000,2021-12-12 04:00:00,MANA/USD,3.65804,3.6914,3.43686,3.49966,318799.846989,1115691.0725135237
1639195200000,2021-12-11 04:00:00,MANA/USD,3.29564,3.65822,3.26188,3.65804,289792.974395,1060074.292055886
1639108800000,2021-12-10 04:00:00,MANA/USD,3.47828,3.52158,3.16654,3.29564,455892.106133,1502456.26065616
1639022400000,2021-12-09 04:00:00,MANA/USD,3.675,3.675,3.41123,3.47828,184550.892443,641919.678166638
1638936000000,2021-12-08 04:00:00,MANA/USD,3.69056,3.89612,3.55246,3.675,609042.766984,2238232.1686662
1638849600000,2021-12-07 04:00:00,MANA/USD,3.74582,4.15,3.68206,3.69056,846553.59980243,3124256.8532868563
1638763200000,2021-12-06 04:00:00,MANA/USD,3.58869,3.92609,3.22922,3.74582,1013391.09831146,3795980.643877033
