https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1640577600000,2021-12-27 04:00:00,COMP/USD,234.24,248.6,221.59,223.43,3987.886896,891013.56917328
1640491200000,2021-12-26 04:00:00,COMP/USD,220.07,236.63,218.96,234.24,2392.861977,560503.9894924801
1640404800000,2021-12-25 04:00:00,COMP/USD,235.34,237.09,219.83,220.07,1275.770978,280758.91912846
1640318400000,2021-12-24 04:00:00,COMP/USD,227.13,241.44,222.41,235.34,7388.166189,1738731.0309192599
1640232000000,2021-12-23 04:00:00,COMP/USD,211.22,238.57,204.82,227.13,22533.779617,5118097.36440921
1640145600000,2021-12-22 04:00:00,COMP/USD,198.62,212.74,198.62,211.22,1868.407463,394645.02433486
1640059200000,2021-12-21 04:00:00,COMP/USD,191.6,198.8,190.54,198.62,2807.355947,557597.0381931401
1639972800000,2021-12-20 04:00:00,COMP/USD,195.01,195.95,181.98,191.6,3593.573193,688528.6237788
1639886400000,2021-12-19 04:00:00,COMP/USD,208.39,209.45,192.76,195.01,2807.622258,547514.4165325799
1639800000000,2021-12-18 04:00:00,COMP/USD,211.12,213.43,202.0,208.39,5000.710319,1042098.0233764099
1639713600000,2021-12-17 04:00:00,COMP/USD,190.24,215.9,178.03,211.12,12351.931168,2607739.70818816
1639627200000,2021-12-16 04:00:00,COMP/USD,195.18,195.18,186.57,190.24,937.744859,178396.58197616
1639540800000,2021-12-15 04:00:00,COMP/USD,185.39,199.39,174.78,195.18,10650.934351,2078849.36662818
1639454400000,2021-12-14 04:00:00,COMP/USD,179.7,190.82,177.14,185.39,4618.741401,856268.46833139
1639368000000,2021-12-13 04:00:00,COMP/USD,192.19,195.68,175.52,179.7,7860.815316,1412588.5122852
1639281600000,2021-12-12 04:00:00,COMP/USD,195.42,201.84,190.2,192.19,3445.9026,662268.020694
1639195200000,2021-12-11 04:00:00,COMP/USD,186.82,197.4,186.35,195.42,4178.651407,816592.05795594
1639108800000,2021-12-10 04:00:00,COMP/USD,195.72,200.32,180.89,186.82,2001.755619,373967.98474158
1639022400000,2021-12-09 04:00:00,COMP/USD,211.43,211.43,192.78,195.72,748.424591,146481.66095052
1638936000000,2021-12-08 04:00:00,COMP/USD,216.81,228.68,210.2,211.43,5585.900054,1181026.84841722
1638849600000,2021-12-07 04:00:00,COMP/USD,224.47,231.11,216.56,216.81,1188.238773,257622.04837413
1638763200000,2021-12-06 04:00:00,COMP/USD,214.86,228.81,193.46,224.47,3353.647422,752793.23681634
1638676800000,2021-12-05 04:00:00,COMP/USD,223.68,225.53,201.91,214.86,4048.806595,869926.5850017001
1638590400000,2021-12-04 04:00:00,COMP/USD,240.77,244.96,189.02,223.68,7633.369537,1707432.09803616
1638504000000,2021-12-03 04:00:00,COMP/USD,269.28,275.26,240.77,240.77,1159.899185,279268.92677245
1638417600000,2021-12-02 04:00:00,COMP/USD,269.24,272.66,263.52,269.28,364.424677,98132.27702255998
1638331200000,2021-12-01 04:00:00,COMP/USD,284.18,284.74,264.63,269.24,1128.98899148,303968.9960660752
1638244800000,2021-11-30 04:00:00,COMP/USD,288.65,297.44,277.02,284.18,2242.44544793,637258.1473927473
1638158400000,2021-11-29 04:00:00,COMP/USD,286.48,293.42,281.19,288.65,1688.68752712,487439.65470318793
1638072000000,2021-11-28 04:00:00,COMP/USD,263.72,288.65,260.93,286.48,3789.10791429,1085503.6352857992
1637985600000,2021-11-27 04:00:00,COMP/USD,264.81,276.2,260.23,263.72,1168.15570104,308066.02147826884
1637899200000,2021-11-26 04:00:00,COMP/USD,281.04,282.16,244.11,264.81,4053.72428761,1073466.728602004
1637812800000,2021-11-25 04:00:00,COMP/USD,280.7,290.91,276.95,281.04,1340.05273942,376608.4218865968
1637726400000,2021-11-24 04:00:00,COMP/USD,285.4,286.66,271.47,280.7,2126.95221399,597035.486466993
1637640000000,2021-11-23 04:00:00,COMP/USD,290.39,293.11,276.05,285.4,1828.79478218,521938.030834172
1637553600000,2021-11-22 04:00:00,COMP/USD,294.1,299.55,282.18,290.39,1138.0873569,330489.187570191
1637467200000,2021-11-21 04:00:00,COMP/USD,305.77,315.47,294.1,294.1,1283.60195938,377507.336253658
1637380800000,2021-11-20 04:00:00,COMP/USD,311.1,317.6,299.89,305.77,1038.93833847,317676.17575397185
1637294400000,2021-11-19 04:00:00,COMP/USD,291.58,315.22,291.58,311.1,985.87959783,306707.142884913
1637208000000,2021-11-18 04:00:00,COMP/USD,317.85,317.85,286.79,291.58,672.00083502,195942.00347513158
1637121600000,2021-11-17 04:00:00,COMP/USD,310.64,325.27,306.79,317.85,751.10727827,238739.44839811954
1637035200000,2021-11-16 04:00:00,COMP/USD,318.59,322.9,296.81,310.64,1383.03295236,429625.3563211104
1636948800000,2021-11-15 04:00:00,COMP/USD,346.83,354.74,314.19,318.59,1363.86516851,434513.8040356009
1636862400000,2021-11-14 04:00:00,COMP/USD,355.37,358.37,337.43,346.83,610.31177697,211674.43360650507
